r2,mae,mse,mape,interval,model_name
0.992184530039165,7.581018017300694,293.14421884185055,0.019673563995372307,interval1,tcn
0.9953782065676802,6.7293623981822615,173.35515741922865,0.02029676521601633,interval1,cnn
0.9966273546378684,5.2999988636363655,126.50186042133102,0.01481931874698042,interval1,bilstm
0.9974806128742849,5.600003291736949,94.49767891488976,0.015719154319870202,interval1,ann
0.988471337559271,9.258568160178445,432.41938903413364,0.024257271508780046,interval1,transformer
0.9960371737297372,7.147656634334004,246.38055948950833,0.02756987257534068,interval2,tcn
0.997486453221617,7.212429173804793,156.27459275926935,0.025098396208135774,interval2,cnn
0.9975091235842719,6.098374154465191,154.8651096646762,0.021762651787243084,interval2,bilstm
0.9937007168463999,8.452153728498123,391.6449528492411,0.04554860646020541,interval2,ann
0.9979206556554883,6.935331938968175,129.27895093876452,0.020852277949789923,interval2,transformer
0.9973723523473264,79.08655825743888,39620.9891868399,0.027070712994508785,interval3,tcn
0.9979372706566231,93.62779597182795,31102.867588109613,0.0796377931770113,interval3,cnn
0.9985383876088916,62.132013026681506,22038.92469545244,0.023326576022195344,interval3,bilstm
0.9988780524478911,56.47310956712483,16917.28789629738,0.021601334007468945,interval3,ann
0.9881553327054544,129.82367953429434,178599.83408406822,0.04196717782350602,interval3,transformer
