accuracy,f1,roc_auc,precision,interval,model_name
0.5454545454545454,0.5689655172413793,0.5536234295698478,0.5038167938931297,interval1,tcn
0.5363636363636364,0.5486725663716814,0.5422248107163657,0.496,interval1,cnn
0.5318181818181819,0.5690376569037656,0.5425160163075131,0.4927536231884058,interval1,bilstm
0.5909090909090909,0.5794392523364486,0.5926449787835926,0.5486725663716814,interval1,ann
0.5409090909090909,0.5550660792951542,0.5471753057658707,0.5,interval1,transformer
0.552901023890785,0.5371024734982333,0.5544725305475235,0.5757575757575758,interval2,tcn
0.5597269624573379,0.5878594249201279,0.5581568883499674,0.5679012345679012,interval2,cnn
0.590443686006826,0.6129032258064516,0.5892174237477846,0.5974842767295597,interval2,bilstm
0.590443686006826,0.6428571428571429,0.5864891334763549,0.5837837837837838,interval2,ann
0.590443686006826,0.6407185628742516,0.5866990019587724,0.5846994535519126,interval2,transformer
0.5182186234817814,0.48260869565217385,0.5227963525835867,0.5522388059701493,interval3,tcn
0.5303643724696356,0.5284552845528455,0.5318163147950381,0.5579399141630901,interval3,cnn
0.5546558704453441,0.5801526717557252,0.5530107615213999,0.5735849056603773,interval3,bilstm
0.5161943319838057,0.5229540918163673,0.5167255401297954,0.5413223140495868,interval3,ann
0.5384615384615384,0.549407114624506,0.5385525342972152,0.562753036437247,interval3,transformer
